ID Interactor A	ID Interactor B	Alt IDs Interactor A	Alt IDs Interactor B	Aliases Interactor A	Aliases Interactor B	Interaction Detection Methods	Publication 1st Author	Publication Identifiers	Taxid Interactor A	Taxid Interactor B	Interaction Types	Source Databases	Interaction Identifiers	Confidence Value	Presence In Other Species	Gene Name Interactor A	Gene Name Interactor B
entrez gene:64750	entrez gene:394	uniprotkb:SMUF2_HUMAN	uniprotkb:RHG05_HUMAN	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	Colland F (2004)|Huttlin EL (2017)	pubmed:15231748|pubmed:28514442	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.88	taxid:10090(Mus musculus (Mouse))	SMURF2	ARHGAP5
entrez gene:4771	entrez gene:2064	uniprotkb:MERL_HUMAN	uniprotkb:ERBB2_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0055(fluorescent resonance energy transfer)	Fernandez-Valle C (2002)|Ivanov AA (2017)	pubmed:12118253|pubmed:28628118	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|biogrid	-	0.79		NF2	ERBB2
entrez gene:3732	entrez gene:2064	uniprotkb:CD82_HUMAN	uniprotkb:ERBB2_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Odintsova E (2003)	pubmed:14576349	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:1014(string)	-	0.73		CD82	ERBB2
entrez gene:54206	entrez gene:2064	uniprotkb:ERRFI_HUMAN	uniprotkb:ERBB2_HUMAN	-	-	MI:0492(in vitro)|MI:0018(two hybrid)|MI:0676(tandem affinity purification)|MI:0004(affinity chromatography technology)	Fiorentino L (2000)|Li J (2013)|Arroyo R (2015)	pubmed:11003669|pubmed:24189400|pubmed:25640309	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|MI:0469(intact)|biogrid	-	0.88		ERRFI1	ERBB2
entrez gene:4316	entrez gene:960	uniprotkb:MMP7_HUMAN	uniprotkb:CD44_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Yu WH (2002)|Rual JF (2005)	pubmed:11825873|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|rual05	-	0.84		MMP7	CD44
entrez gene:10140	entrez gene:2064	uniprotkb:TOB1_HUMAN	uniprotkb:ERBB2_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)	Matsuda S (1996)	pubmed:8632892	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.55		TOB1	ERBB2
entrez gene:4585	entrez gene:2064	uniprotkb:MUC4_HUMAN	uniprotkb:ERBB2_HUMAN	-	-	MI:0493(in vivo)	Swan JS (2002)|Arango ME (2001)|Idris N (2001)	pubmed:12434309|pubmed:11687512|pubmed:11598901	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	-	0.63		MUC4	ERBB2
entrez gene:9463	entrez gene:2064	uniprotkb:PICK1_HUMAN	uniprotkb:ERBB2_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Jaulin-Bastard F (2001)	pubmed:11278603	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.77		PICK1	ERBB2
entrez gene:64750	entrez gene:10628	uniprotkb:SMUF2_HUMAN	uniprotkb:TXNIP_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.63		SMURF2	TXNIP
entrez gene:11218	entrez gene:2117	uniprotkb:DDX20_HUMAN	uniprotkb:ETV3_HUMAN	-	-	MI:0492(in vitro)	Klappacher GW (2002)	pubmed:12007404	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.59	taxid:10090(Mus musculus (Mouse))	DDX20	ETV3
entrez gene:7088	entrez gene:2290	uniprotkb:TLE1_HUMAN	uniprotkb:FOXG1_HUMAN	-	-	MI:0493(in vivo)|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Yao J (2001)|Dastidar SG (2012)|Buscarlet M (2008)|Mar??al N (2005)	pubmed:11238932|pubmed:22354967|pubmed:18611861|pubmed:16314515	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|biogrid	-	0.81		TLE1	FOXG1
entrez gene:7090	entrez gene:2290	uniprotkb:TLE3_HUMAN	uniprotkb:FOXG1_HUMAN	-	-	MI:0493(in vivo)	Yao J (2001)	pubmed:11238932	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.52		TLE3	FOXG1
entrez gene:3065	entrez gene:2290	uniprotkb:HDAC1_HUMAN	uniprotkb:FOXG1_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)	Yao J (2001)	pubmed:11238932	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	-	0.55		HDAC1	FOXG1
entrez gene:4086	entrez gene:2290	uniprotkb:SMAD1_HUMAN	uniprotkb:FOXG1_HUMAN	-	-	MI:0493(in vivo)|Reconstituted Complex|MI:0096(pull down)	Rodriguez C (2001)	pubmed:11387330	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid	-	0.75		SMAD1	FOXG1
entrez gene:10765	entrez gene:2290	uniprotkb:KDM5B_HUMAN	uniprotkb:FOXG1_HUMAN	-	-	MI:0493(in vivo)|MI:0018(two hybrid)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Tan K (2003)|Roesch A (2008)	pubmed:12657635|pubmed:17973255	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid	-	0.86		KDM5B	FOXG1
entrez gene:920	entrez gene:960	uniprotkb:CD4_HUMAN	uniprotkb:CD44_HUMAN	-	-	MI:0492(in vitro)	Dianzani U (1995)|Rual JF (2005)	pubmed:7539755|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|rual05	-	0.62		CD4	CD44
entrez gene:64750	entrez gene:1601	uniprotkb:SMUF2_HUMAN	uniprotkb:DAB2_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)|Lim J (2006)	pubmed:15231748|pubmed:16713569	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|lim06|MI:0469(intact)|biogrid	-	0.73		SMURF2	DAB2
entrez gene:867	entrez gene:7409	uniprotkb:CBL_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|Reconstituted Complex|MI:0047(far western blotting)|MI:0254(genetic interference)|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Mareng??re LE (1997)|Lin H (2001)|Bertagnolo V (2001)|Lim J (2006)|Miura-Shimura Y (2003)|Simmons A (2005)|Peterson ME (2008)|Shen M (2009)|Lottin-Divoux S (2005)	pubmed:9200440|pubmed:11133830|pubmed:11331248|pubmed:16713569|pubmed:12881521|pubmed:16356860|pubmed:18835194|pubmed:19635790|pubmed:16289966	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|MI:0465(dip)|i2d|lim06|MI:0471(mint)|MI:0469(intact)	-	0.9		CBL	VAV1
entrez gene:5335	entrez gene:7409	uniprotkb:PLCG1_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0055(fluorescent resonance energy transfer)	Bertagnolo V (1998)|Braiman A (2006)|Lim J (2006)	pubmed:9891995|pubmed:16467851|pubmed:16713569	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|homomint|i2d|lim06	-	0.95	taxid:9913(Bos taurus (Bovine))	PLCG1	VAV1
entrez gene:5618	entrez gene:7409	uniprotkb:PRLR_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0493(in vivo)|Reconstituted Complex|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Clevenger CV (1995)|Kline JB (2001)	pubmed:7768923|pubmed:11328862	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:1014(string)	-	0.88		PRLR	VAV1
entrez gene:7297	entrez gene:7409	uniprotkb:TYK2_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Adam L (2000)|Rual JF (2005)	pubmed:10673353|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|rual05|MI:1014(string)	-	0.83		TYK2	VAV1
entrez gene:64750	entrez gene:9993	uniprotkb:SMUF2_HUMAN	uniprotkb:IDD_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.63		SMURF2	DGCR2
entrez gene:5594	entrez gene:7409	uniprotkb:MK01_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Lee IS (1997)|Song JS (1996)	pubmed:9013873|pubmed:8900182	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.83		MAPK1	VAV1
entrez gene:7409	entrez gene:391	uniprotkb:VAV_HUMAN	uniprotkb:RHOG_HUMAN	-	-	MI:0492(in vitro)	Wennerberg K (2002)	pubmed:12376551	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.52		VAV1	RHOG
entrez gene:3265	entrez gene:7409	uniprotkb:RASH_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0493(in vivo)	Gulbins E (1995)|Lim J (2006)	pubmed:8554611|pubmed:16713569	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|lim06	-	0.62		HRAS	VAV1
entrez gene:695	entrez gene:7409	uniprotkb:BTK_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Guinamard R (1997)	pubmed:9201297	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.73		BTK	VAV1
entrez gene:7046	entrez gene:960	uniprotkb:TGFR1_HUMAN	uniprotkb:CD44_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Reconstituted Complex|MI:0096(pull down)|MI:0004(affinity chromatography technology)	Bourguignon LY (2002)|Wakahara K (2005)	pubmed:12145287|pubmed:15597342	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:1014(string)	-	0.88		TGFBR1	CD44
entrez gene:6850	entrez gene:7409	uniprotkb:KSYK_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|Affinity Capture-Western|Reconstituted Complex|Biochemical Activity|MI:0415(enzymatic study)|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Deckert M (1996)|Song JS (1996)|Bertagnolo V (2001)|Rual JF (2005)|Tartare-Deckert S (2001)	pubmed:8986718|pubmed:8900182|pubmed:11331248|pubmed:16189514|pubmed:11262396	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|rual05	-	0.9		SYK	VAV1
entrez gene:6461	entrez gene:7409	uniprotkb:SHB_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|Reconstituted Complex|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Lindholm CK (2002)	pubmed:12084069	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.79		SHB	VAV1
entrez gene:5588	entrez gene:7409	uniprotkb:KPCT_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Hehner SP (2000)	pubmed:10725744	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.73		PRKCQ	VAV1
entrez gene:7006	entrez gene:7409	uniprotkb:TEC_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Machide M (1995)|Kline JB (2001)	pubmed:7651724|pubmed:11328862	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.84		TEC	VAV1
entrez gene:3572	entrez gene:7409	uniprotkb:IL6RB_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0493(in vivo)|Reconstituted Complex|MI:0096(pull down)	Lee IS (1997)	pubmed:9013873	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:1014(string)	-	0.75		IL6ST	VAV1
entrez gene:3190	entrez gene:7409	uniprotkb:HNRPK_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Hobert O (1994)|Bustelo XR (1995)|Rual JF (2005)|Lim J (2006)	pubmed:8051112|pubmed:7862126|pubmed:16189514|pubmed:16713569	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|homomint|i2d|rual05|lim06	-	0.95	taxid:10090(Mus musculus (Mouse))	HNRNPK	VAV1
entrez gene:6503	entrez gene:7409	uniprotkb:SLAP1_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|Reconstituted Complex|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Sosinowski T (2000)|Rual JF (2005)	pubmed:10662792|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|rual05	-	0.88		SLA	VAV1
entrez gene:2185	entrez gene:7409	uniprotkb:FAK2_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Reconstituted Complex|MI:0096(pull down)	Katagiri T (2000)|Lim J (2006)	pubmed:10867021|pubmed:16713569	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|lim06	-	0.86		PTK2B	VAV1
entrez gene:2146	entrez gene:7409	uniprotkb:EZH2_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|Reconstituted Complex|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Hobert O (1996)|Cardoso C (2000)|Su IH (2005)|Rual JF (2005)	pubmed:8649418|pubmed:10780782|pubmed:15882624|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|rual05	-	0.9		EZH2	VAV1
entrez gene:3937	entrez gene:7409	uniprotkb:LCP2_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|Reconstituted Complex|MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0096(pull down)	Fu C (1997)|Bertagnolo V (2001)|Raab M (1997)|Onodera H (1996)|Rual JF (2005)|Fang N (1999)|Wu J (1996)|Sela M (2011)|Shen M (2009)	pubmed:9341187|pubmed:11331248|pubmed:9047237|pubmed:8703037|pubmed:16189514|pubmed:10347175|pubmed:8673706|pubmed:21725281|pubmed:19635790	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|rual05|MI:0462(bind)|MI:0471(mint)|MI:0469(intact)	-	0.9		LCP2	VAV1
entrez gene:7048	entrez gene:960	uniprotkb:TGFR2_HUMAN	uniprotkb:CD44_HUMAN	-	-	MI:0493(in vivo)	Bourguignon LY (2002)	pubmed:12145287	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|MI:1014(string)	-	0.52		TGFBR2	CD44
entrez gene:7791	entrez gene:7409	uniprotkb:ZYX_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0492(in vitro)|MI:0018(two hybrid)	Hobert O (1996)|Rual JF (2005)|Lim J (2006)	pubmed:8622875|pubmed:16189514|pubmed:16713569	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|rual05|lim06	-	0.76		ZYX	VAV1
entrez gene:6452	entrez gene:7409	uniprotkb:3BP2_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0047(far western blotting)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)|MI:0029(cosedimentation through density gradient)|MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down)	Jevremovic D (2001)|Le Bras S (2007)|Foucault I (2004)|GuezGuez A (2010)	pubmed:11390470|pubmed:17306257|pubmed:15345594|pubmed:20439986	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|MI:0471(mint)|i2d|MI:0469(intact)	-	0.9		SH3BP2	VAV1
entrez gene:6478	entrez gene:7409	uniprotkb:SIAH2_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|Reconstituted Complex|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Germani A (1999)|Lim J (2006)	pubmed:10207103|pubmed:16713569	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|lim06	-	0.89		SIAH2	VAV1
entrez gene:27040	entrez gene:7409	uniprotkb:LAT_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Reconstituted Complex|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0029(cosedimentation through density gradient)	Paz PE (2001)|Perez-Villar JJ (2002)|Lim J (2006)|Le Bras S (2007)	pubmed:11368773|pubmed:12186560|pubmed:16713569|pubmed:17306257	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|lim06|MI:0471(mint)|MI:1014(string)	-	0.9		LAT	VAV1
entrez gene:397	entrez gene:7409	uniprotkb:GDIR2_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|Affinity Capture-Western|Reconstituted Complex|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Groysman M (2000)	pubmed:10664460	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|mips|MI:1014(string)	-	0.79		ARHGDIB	VAV1
entrez gene:8651	entrez gene:7409	uniprotkb:SOCS1_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	De Sepulveda P (1999)|De Sepulveda P (2000)	pubmed:10022833|pubmed:10747851	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:0462(bind)|MI:1014(string)	-	0.87		SOCS1	VAV1
entrez gene:8639	entrez gene:7409	uniprotkb:AOC3_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0493(in vivo)	Bustelo XR (1992)	pubmed:1375396	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.52		AOC3	VAV1
entrez gene:4752	entrez gene:7409	uniprotkb:NEK3_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0493(in vivo)	Miller SL (2004)	pubmed:15618286	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.52		NEK3	VAV1
entrez gene:868	entrez gene:7409	uniprotkb:CBLB_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0018(two hybrid)|MI:0047(far western blotting)|MI:0096(pull down)	Sattler M (2002)|Rual JF (2005)|Bustelo XR (1997)	pubmed:11857085|pubmed:16189514|pubmed:9399639	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|rual05|MI:1014(string)	-	0.89		CBLB	VAV1
entrez gene:29760	entrez gene:7409	uniprotkb:BLNK_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Fu C (1998)|Rual JF (2005)	pubmed:9697839|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|rual05|MI:0470(kegg)|MI:1014(string)	-	0.83		BLNK	VAV1
